code,price,page,context
1660683,10.0,320,"10"" Modern Rain Showerhead | 1 | 1660683"
1660194,12.0,320,"12"" Wall-Mount Right Angle Shower Arm | 1 | 1660194"
TU064740,64740.0,320,Serin Flash 2-Handle Integrated Shower Diverter Trim | 1 | TU064740
1660683,10.0,320,"10"" Modern Rain Showerhead | 1 | 1660683"
1660194,12.0,320,"12"" Wall-Mount Right Angle Shower Arm | 1 | 1660194"
TU105740,297.0,332,Studio S Flash 2-Handle Integrated Shower Diverter Trim | 1 | TU105740 | 297
1660683,334.0,332,"10"" Modern Rain Showerhead | 1 | 1660683 | 334"
1660194,120.0,332,"12"" Wall-Mount Right Angle Shower Arm | 1 | 1660194 | 120"
1660774,284.0,332,Spectra Handheld® Slide Bar Kit | 1 | 1660774 | 284
8888316,102.0,332,Studio S Tub Spout | 1 | 8888316 | 102
RU520,520.0,332,Pressure balance valve rough-in with integrated diverter; cartridge ships with trim | 1 | RU520
TU105740,297.0,332,Studio S Flash 2-Handle Integrated Shower Diverter Trim | 1 | TU105740 | 297
1660683,334.0,332,"10"" Modern Rain Showerhead | 1 | 1660683 | 334"
1660194,120.0,332,"12"" Wall-Mount Right Angle Shower Arm | 1 | 1660194 | 120"
1660774,284.0,332,Spectra Handheld Slide Bar Kit | 1 | 1660774 | 284
RU520,520.0,332,Pressure balance valve rough-in with integrated diverter; cartridge ships with trim | 1 | RU520
4931.002,4931.0,400,"4931.002 | 002, 075 | N/A"
7074,7074.0,400,"7074 | 002, 075 | N/A"
Male,4279.41,400,4279.410 | Male
4932,4932.0,400,"4932 | 002, 075 | N/A"
M922917,70750.0,401,"70750XX | Slim | Plain, no finish | N/A | M922917 | N/A | N/A"
M922996,66508.0,401,"7385XXX | Regular Male | 002, 295 | M922901 | 066508 | M922991 | M922996"
M922996,66508.0,401,"2064101
2064151
2064152 | Regular Male | 002, 295 | M922901 | 066508 | M922991 | M922996"
20648XX,20648.0,401,20648XX | N/A | N/A | N/A | N/A | N/A | N/A
M922991,7455.0,401,"7455XXX | Regular Male | 002, 013, 278, 295 | M922901 | N/A | M922991 | N/A"
M923845,7353.0,401,"7353XXX | Slim | Plain, no finish | N/A | N/A | M923845 | N/A"
